
Iter 0040 | Total Loss 377.231995
Iter 0080 | Total Loss 79.990692
Iter 0120 | Total Loss 95.680878
Iter 0160 | Total Loss 113.408363
Iter 0200 | Total Loss 123.088684
Iter 0240 | Total Loss 119.144585
Iter 0280 | Total Loss 136.280609
Iter 0320 | Total Loss 122.385033
Iter 0360 | Total Loss 123.361679
Iter 0400 | Total Loss 117.331169
Iter 0440 | Total Loss 116.220207
Iter 0480 | Total Loss 156.513474
Iter 0520 | Total Loss 138.904022
Iter 0560 | Total Loss 153.305130
Iter 0600 | Total Loss 130.831558
Iter 0640 | Total Loss 156.321213
Iter 0680 | Total Loss 141.727890
Iter 0720 | Total Loss 116.534103
Iter 0760 | Total Loss 122.072647
Iter 0800 | Total Loss 147.535492
Iter 0840 | Total Loss 86.977760
Iter 0880 | Total Loss 115.089943
Iter 0920 | Total Loss 128.334991
Iter 0960 | Total Loss 82.487831
Iter 1000 | Total Loss 128.374207
Iter 1040 | Total Loss 125.354523
Iter 1080 | Total Loss 97.876488
Iter 1120 | Total Loss 97.956902
Iter 1160 | Total Loss 127.941551
Iter 1200 | Total Loss 109.063751
Iter 1240 | Total Loss 118.421371
Iter 1280 | Total Loss 119.573280
Iter 1320 | Total Loss 54.734001
Iter 1360 | Total Loss 91.852730
Iter 1400 | Total Loss 92.152664
Iter 1440 | Total Loss 86.507317
Iter 1480 | Total Loss 95.216721
Iter 1520 | Total Loss 91.574997
Iter 1560 | Total Loss 101.963478
Iter 1600 | Total Loss 89.908310
Iter 1640 | Total Loss 129.092804
Iter 1680 | Total Loss 90.766792
Iter 1720 | Total Loss 57.440765
Iter 1760 | Total Loss 70.355721
Iter 1800 | Total Loss 72.113602
Iter 1840 | Total Loss 86.163048
Iter 1880 | Total Loss 110.383163
Iter 1920 | Total Loss 103.324936
Iter 1960 | Total Loss 104.780663
Iter 2000 | Total Loss 126.283989
Iter 2040 | Total Loss 88.256012
Iter 2080 | Total Loss 88.526184
Iter 2120 | Total Loss 58.890884
Iter 2160 | Total Loss 91.247581
Iter 2200 | Total Loss 96.749977
