
Iter 0040 | Total Loss 160.317322
Iter 0080 | Total Loss 80.639320
Iter 0120 | Total Loss 81.623177
Iter 0160 | Total Loss 97.456688
Iter 0200 | Total Loss 76.950859
Iter 0240 | Total Loss 145.762512
Iter 0280 | Total Loss 119.469543
Iter 0320 | Total Loss 144.000687
Iter 0360 | Total Loss 173.119812
Iter 0400 | Total Loss 138.565369
Iter 0440 | Total Loss 121.776344
Iter 0480 | Total Loss 121.976540
Iter 0520 | Total Loss 155.797623
Iter 0560 | Total Loss 115.453835
Iter 0600 | Total Loss 107.302971
Iter 0640 | Total Loss 130.030045
Iter 0680 | Total Loss 128.931671
Iter 0720 | Total Loss 126.998627
Iter 0760 | Total Loss 122.080933
Iter 0800 | Total Loss 130.472015
Iter 0840 | Total Loss 99.640602
Iter 0880 | Total Loss 88.197052
Iter 0920 | Total Loss 107.082062
Iter 0960 | Total Loss 92.016853
Iter 1000 | Total Loss 99.953270
Iter 1040 | Total Loss 88.919876
Iter 1080 | Total Loss 108.882957
Iter 1120 | Total Loss 151.554230
Iter 1160 | Total Loss 134.169708
Iter 1200 | Total Loss 62.437614
Iter 1240 | Total Loss 91.689919
Iter 1280 | Total Loss 69.872612
Iter 1320 | Total Loss 119.113083
Iter 1360 | Total Loss 91.989517
Iter 1400 | Total Loss 115.318855
Iter 1440 | Total Loss 109.113876
Iter 1480 | Total Loss 104.164688
Iter 1520 | Total Loss 130.052628
Iter 1560 | Total Loss 105.919258
Iter 1600 | Total Loss 83.600502
Iter 1640 | Total Loss 45.555145
Iter 1680 | Total Loss 69.189964
Iter 1720 | Total Loss 116.567177
Iter 1760 | Total Loss 90.160934
Iter 1800 | Total Loss 105.824539
Iter 1840 | Total Loss 78.471893
Iter 1880 | Total Loss 91.704903
Iter 1920 | Total Loss 102.572258
Iter 1960 | Total Loss 96.620354
Iter 2000 | Total Loss 99.584724
Iter 2040 | Total Loss 137.872314
Iter 2080 | Total Loss 109.538689
Iter 2120 | Total Loss 111.909531
Iter 2160 | Total Loss 95.662437
Iter 2200 | Total Loss 89.169373
Iter 2240 | Total Loss 86.722511
Iter 2280 | Total Loss 101.058060
Iter 2320 | Total Loss 87.944580
Iter 2360 | Total Loss 101.929283
Iter 2400 | Total Loss 104.659142
Iter 2440 | Total Loss 126.382645
Iter 2480 | Total Loss 116.037247
Iter 2520 | Total Loss 54.807865
Iter 2560 | Total Loss 117.230103
Iter 2600 | Total Loss 88.344749
Iter 2640 | Total Loss 131.312057
Iter 2680 | Total Loss 118.075325
Iter 2720 | Total Loss 97.691040
Iter 2760 | Total Loss 98.882103
Iter 2800 | Total Loss 110.618065
Iter 2840 | Total Loss 96.610313
Iter 2880 | Total Loss 101.812370
Iter 2920 | Total Loss 119.674385
Iter 2960 | Total Loss 109.409981
Iter 3000 | Total Loss 76.988525
d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
