
Iter 0040 | Total Loss 224.571609
Iter 0080 | Total Loss 175.060165
Iter 0120 | Total Loss 209.978561
Iter 0160 | Total Loss 140.643234
Iter 0200 | Total Loss 187.938400
Iter 0240 | Total Loss 320.019073
Iter 0280 | Total Loss 497.960480
Iter 0320 | Total Loss 229.546951
Iter 0360 | Total Loss 534.245667
Iter 0400 | Total Loss 588.146179
Iter 0440 | Total Loss 165.425537
Iter 0480 | Total Loss 184.236099
Iter 0520 | Total Loss 207.909653
Iter 0560 | Total Loss 201.606674
Iter 0600 | Total Loss 190.466064
Iter 0640 | Total Loss 151.236221
Iter 0680 | Total Loss 188.901428
Iter 0720 | Total Loss 189.105148
Iter 0760 | Total Loss 175.521606
Iter 0800 | Total Loss 103.405930
Iter 0840 | Total Loss 161.208405
Iter 0880 | Total Loss 168.825729
Iter 0920 | Total Loss 147.898895
Iter 0960 | Total Loss 187.259232
Iter 1000 | Total Loss 123.947540
Iter 1040 | Total Loss 179.207474
Iter 1080 | Total Loss 179.913269
Iter 1120 | Total Loss 144.245728
Iter 1160 | Total Loss 200.991425
Iter 1200 | Total Loss 163.810303
Iter 1240 | Total Loss 164.727173
Iter 1280 | Total Loss 130.879807
Iter 1320 | Total Loss 153.132126
Iter 1360 | Total Loss 168.261383
Iter 1400 | Total Loss 176.952499
Iter 1440 | Total Loss 158.861389
Iter 1480 | Total Loss 157.386337
Iter 1520 | Total Loss 225.449158
Iter 1560 | Total Loss 194.592468
Iter 1600 | Total Loss 222628606377984.000000
Iter 1640 | Total Loss 119.323883
Iter 1680 | Total Loss 1118518656.000000
Iter 1720 | Total Loss 156.126801
Iter 1760 | Total Loss 14583879.000000
Iter 1800 | Total Loss 123.187767
Iter 1840 | Total Loss 130.617569
Iter 1880 | Total Loss 148.414154
Iter 1920 | Total Loss 140.819336
Iter 1960 | Total Loss 148.423676
Iter 2000 | Total Loss 154.346756
Iter 2040 | Total Loss 150.312622
Iter 2080 | Total Loss 129.308334
Iter 2120 | Total Loss 135.933884
Iter 2160 | Total Loss 139.723038
Iter 2200 | Total Loss 139.633163
Iter 2240 | Total Loss 130.417770
Iter 2280 | Total Loss 124.037537
Iter 2320 | Total Loss 124.759392
Iter 2360 | Total Loss 158.420731
Iter 2400 | Total Loss 130.438507
Iter 2440 | Total Loss 142.161072
Iter 2480 | Total Loss 133.881989
Iter 2520 | Total Loss 143.047379
Iter 2560 | Total Loss 133.555969
Iter 2600 | Total Loss 147.664215
Iter 2640 | Total Loss 136.619186
Iter 2680 | Total Loss 146.756531
Iter 2720 | Total Loss 126.506416
Iter 2760 | Total Loss 127.918198
Iter 2800 | Total Loss 150.689606
Iter 2840 | Total Loss 148.156067
Iter 2880 | Total Loss 138.668549
Iter 2920 | Total Loss 122.672417
Iter 2960 | Total Loss 149.514465
Iter 3000 | Total Loss 122.050377
d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
  warnings.warn("t is not on the same device as y0. Coercing to y0.device.")
Using device: cuda
GPU Name: NVIDIA GeForce RTX 3070 Ti Laptop GPU
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
