
Iter 0040 | Total Loss 188.159500
Iter 0080 | Total Loss 112.508186
Iter 0120 | Total Loss 702.112305
Iter 0160 | Total Loss 600.602966
Iter 0200 | Total Loss 222.624619
Iter 0240 | Total Loss 211.218338
Iter 0280 | Total Loss 264.369446
Iter 0320 | Total Loss 190.575119
Iter 0360 | Total Loss 168.773376
Iter 0400 | Total Loss 213.369659
Iter 0440 | Total Loss 177.967255
Iter 0480 | Total Loss 156.058380
Iter 0520 | Total Loss 142.967728
Iter 0560 | Total Loss 172.272141
Iter 0600 | Total Loss 140.297958
Iter 0640 | Total Loss 208.883255
Iter 0680 | Total Loss 135.395706
Iter 0720 | Total Loss 197.583710
Iter 0760 | Total Loss 170.162094
Iter 0800 | Total Loss 137.380951
Iter 0840 | Total Loss 109.911499
Iter 0880 | Total Loss 188.132477
Iter 0920 | Total Loss 158.594772
Iter 0960 | Total Loss 144.229095
Iter 1000 | Total Loss 132.589142
Iter 1040 | Total Loss 173.050613
Iter 1080 | Total Loss 163.249680
Iter 1120 | Total Loss 167.942947
Iter 1160 | Total Loss 98.938248
Iter 1200 | Total Loss 174.201767
Iter 1240 | Total Loss 148.673187
Iter 1280 | Total Loss 96.494148
Iter 1320 | Total Loss 144.418182
Iter 1360 | Total Loss 153.836166
Iter 1400 | Total Loss 145.250809
Iter 1440 | Total Loss 160.132614
Iter 1480 | Total Loss 143.671402
Iter 1520 | Total Loss 113.446083
Iter 1560 | Total Loss 164.413742
Iter 1600 | Total Loss 160.782578
Iter 1640 | Total Loss 132.959503
Iter 1680 | Total Loss 145.520950
Iter 1720 | Total Loss 105.883339
Iter 1760 | Total Loss 108.307205
Iter 1800 | Total Loss 155.578110
Iter 1840 | Total Loss 167.559479
Iter 1880 | Total Loss 137.926834
Iter 1920 | Total Loss 150.401367
Iter 1960 | Total Loss 113.062569
Iter 2000 | Total Loss 108.739227
Iter 2040 | Total Loss 111.022179
Iter 2080 | Total Loss 109.865646
Iter 2120 | Total Loss 148.466949
Iter 2160 | Total Loss 115.399239
Iter 2200 | Total Loss 137.180450
Iter 2240 | Total Loss 150.026093
Iter 2280 | Total Loss 115.023621
Iter 2320 | Total Loss 110.125938
Iter 2360 | Total Loss 142.317245
Iter 2400 | Total Loss 106.157845
Iter 2440 | Total Loss 157.923477
Iter 2480 | Total Loss 138.376236
Iter 2520 | Total Loss 125.274773
Iter 2560 | Total Loss 108.727768
Iter 2600 | Total Loss 125.807205
Iter 2640 | Total Loss 109.500809
Iter 2680 | Total Loss 109.251915
Iter 2720 | Total Loss 111.098518
Iter 2760 | Total Loss 153.001495
Iter 2800 | Total Loss 102.538002
Iter 2840 | Total Loss 108.506355
Iter 2880 | Total Loss 105.961220
Iter 2920 | Total Loss 109.687637
Iter 2960 | Total Loss 110.845146
Iter 3000 | Total Loss 108.595039
d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
  warnings.warn("t is not on the same device as y0. Coercing to y0.device.")
Iter 0000 | Total Loss 4065.327881
Iter 0040 | Total Loss 733387328.000000
Iter 0080 | Total Loss 180.483505
Iter 0120 | Total Loss 156.395844
Iter 0160 | Total Loss 174.132751
Iter 0200 | Total Loss 179.741959
Iter 0240 | Total Loss 182.149460
Iter 0280 | Total Loss 204.241119
Iter 0320 | Total Loss 181.507080
Iter 0360 | Total Loss 195.566162
Iter 0400 | Total Loss 202.279663
Iter 0440 | Total Loss 203.410324
Iter 0480 | Total Loss 203.014328
Iter 0520 | Total Loss 202.354004
Iter 0560 | Total Loss 205.562164
Iter 0600 | Total Loss 201.652618
Iter 0640 | Total Loss 202.950378
Iter 0680 | Total Loss 206.507462
Iter 0720 | Total Loss 201.949539
Iter 0760 | Total Loss 206.031708
Iter 0800 | Total Loss 202.985687
Iter 0840 | Total Loss 205.093704
Iter 0880 | Total Loss 190.501373
Iter 0920 | Total Loss 196.027817
Iter 0960 | Total Loss 187.582825
Iter 0000 | Total Loss 266.191162
Iter 0040 | Total Loss 134.894211
Iter 0080 | Total Loss 196.523499
Iter 0120 | Total Loss 147.209579
Iter 0160 | Total Loss 169.635635
Iter 0200 | Total Loss 165.854462
Iter 0240 | Total Loss 180.561417
Iter 0280 | Total Loss 178.447815
Iter 0320 | Total Loss 196.923325
Iter 0360 | Total Loss 210.658707
Iter 0400 | Total Loss 201.837326
Iter 0440 | Total Loss 209.233917
Iter 0480 | Total Loss 205.764664
Iter 0520 | Total Loss 205.425140
Iter 0560 | Total Loss 204.999832
Iter 0600 | Total Loss 207.577347
Iter 0640 | Total Loss 209.432190
Iter 0680 | Total Loss 204.874313
Iter 0720 | Total Loss 218.142990
Iter 0760 | Total Loss 204.770004
Iter 0800 | Total Loss 199.325378
Iter 0840 | Total Loss 221.858826
Iter 0880 | Total Loss 194.029449
Iter 0920 | Total Loss 200.776871
Iter 0960 | Total Loss 236.652115
Iter 1000 | Total Loss 217.505524
Iter 1040 | Total Loss 195.755081
Iter 1080 | Total Loss 199.243912
Iter 1120 | Total Loss 196.931671
Iter 1160 | Total Loss 189.400879
Iter 1200 | Total Loss 183.403915
Iter 1240 | Total Loss 191.733170
Iter 1280 | Total Loss 194.515350
Iter 1320 | Total Loss 187.748459
Iter 1360 | Total Loss 185.282501
Iter 1400 | Total Loss 186.695953
Iter 1440 | Total Loss 170.636444
Iter 1480 | Total Loss 174.959045
Iter 1520 | Total Loss 175.356369
Iter 1560 | Total Loss 168.665649
Iter 1600 | Total Loss 173.256744
Iter 1640 | Total Loss 174.084976
Iter 1680 | Total Loss 170.281906
Iter 1720 | Total Loss 167.036896
Iter 1760 | Total Loss 165.625122
Iter 1800 | Total Loss 156.980377
Iter 1840 | Total Loss 166.545837
Iter 1880 | Total Loss 174.540390
Iter 1920 | Total Loss 163.588272
Iter 1960 | Total Loss 166.695358
Iter 2000 | Total Loss 178.545380
Iter 2040 | Total Loss 156.811066
Iter 2080 | Total Loss 178.130417
Iter 2120 | Total Loss 171.043381
Iter 2160 | Total Loss 160.410797
Iter 2200 | Total Loss 150.586197
Iter 2240 | Total Loss 182.178314
Iter 2280 | Total Loss 148.613419
Iter 2320 | Total Loss 211.833435
Iter 2360 | Total Loss 149.103088
Iter 2400 | Total Loss 135.119141
Iter 2440 | Total Loss 187.194870
Iter 2480 | Total Loss 159.594055
Iter 2520 | Total Loss 188.107559
Iter 2560 | Total Loss 149.434784
Iter 2600 | Total Loss 273.614258
Iter 2640 | Total Loss 199.556793
Iter 2680 | Total Loss 250.625870
Iter 2720 | Total Loss 143.771164
Iter 2760 | Total Loss 158.118851
Iter 2800 | Total Loss 166.969788
Iter 2840 | Total Loss 187.886063
Iter 2880 | Total Loss 159.208160
Iter 2920 | Total Loss 331.832214
