
Iter 0040 | Total Loss 149.052521
Iter 0080 | Total Loss 80.072464
Iter 0120 | Total Loss 648.143860
Iter 0160 | Total Loss 4928294.000000
Iter 0200 | Total Loss 401.048615
Iter 0240 | Total Loss 312.284241
Iter 0280 | Total Loss 139.846207
Iter 0320 | Total Loss 184.770340
Iter 0360 | Total Loss 217.091400
Iter 0400 | Total Loss 208.212006
Iter 0440 | Total Loss 175.925095
Iter 0480 | Total Loss 155.774612
Iter 0520 | Total Loss 129.170609
Iter 0560 | Total Loss 172.567123
Iter 0600 | Total Loss 157.071091
Iter 0640 | Total Loss 144.321350
Iter 0680 | Total Loss 175.963852
Iter 0720 | Total Loss 141.495728
Iter 0760 | Total Loss 119.613083
Iter 0800 | Total Loss 149.199936
Iter 0840 | Total Loss 181.147507
Iter 0880 | Total Loss 170.210968
Iter 0920 | Total Loss 147.089935
Iter 0960 | Total Loss 162.180771
Iter 1000 | Total Loss 144.917801
Iter 1040 | Total Loss 157.702988
Iter 1080 | Total Loss 163.790573
Iter 1120 | Total Loss 152.400116
Iter 1160 | Total Loss 160.146194
Iter 1200 | Total Loss 168.959869
Iter 1240 | Total Loss 175.619751
Iter 1280 | Total Loss 136.966843
Iter 1320 | Total Loss 146.960983
Iter 1360 | Total Loss 147.786331
Iter 1400 | Total Loss 153.844772
Iter 1440 | Total Loss 164.658234
Iter 1480 | Total Loss 137.545517
Iter 1520 | Total Loss 141.949646
Iter 1560 | Total Loss 153.091095
Iter 1600 | Total Loss 143.983368
Iter 1640 | Total Loss 135.010330
Iter 1680 | Total Loss 151.373138
Iter 1720 | Total Loss 139.520081
Iter 1760 | Total Loss 159.036682
Iter 1800 | Total Loss 167.921906
Iter 1840 | Total Loss 151.693512
Iter 1880 | Total Loss 152.832886
Iter 1920 | Total Loss 145.273392
Iter 1960 | Total Loss 143.228912
Iter 2000 | Total Loss 157.169769
Iter 2040 | Total Loss 138.803070
Iter 2080 | Total Loss 157.557205
Iter 2120 | Total Loss 166.201996
Iter 2160 | Total Loss 148.069214
Iter 2200 | Total Loss 150.772003
Iter 2240 | Total Loss 137.476135
Iter 2280 | Total Loss 163.875534
Iter 2320 | Total Loss 127.369469
Iter 2360 | Total Loss 154.876831
Iter 2400 | Total Loss 143.988632
Iter 2440 | Total Loss 129.711395
Iter 2480 | Total Loss 144.695328
Iter 2520 | Total Loss 145.176468
Iter 2560 | Total Loss 137.023712
Iter 2600 | Total Loss 132.448914
Iter 2640 | Total Loss 160.968750
Iter 2680 | Total Loss 146.286438
Iter 2720 | Total Loss 114.796776
Iter 2760 | Total Loss 150.740219
Iter 2800 | Total Loss 145.175018
Iter 2840 | Total Loss 135.647400
Iter 2880 | Total Loss 143.274521
Iter 2920 | Total Loss 152.652740
Iter 2960 | Total Loss 160.567184
Iter 3000 | Total Loss 120.463791
d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
  warnings.warn("t is not on the same device as y0. Coercing to y0.device.")
Iter 0000 | Total Loss 335.572632
Iter 0040 | Total Loss 226.907974
Iter 0080 | Total Loss 220.955139
Iter 0120 | Total Loss 222.794342
Iter 0160 | Total Loss 224.820404
Iter 0200 | Total Loss 220.901810
Iter 0240 | Total Loss 224.112900
Iter 0280 | Total Loss 220.313965
Iter 0320 | Total Loss 208.353455
Iter 0360 | Total Loss 215.991638
Iter 0400 | Total Loss 215.299408
