
Iter 0040 | Total Loss 218.182205
Iter 0080 | Total Loss 171.877930
Iter 0120 | Total Loss 539.373718
Iter 0160 | Total Loss 149.713669
Iter 0200 | Total Loss 204.600067
Iter 0240 | Total Loss 296.277008
Iter 0280 | Total Loss 171.173141
Iter 0320 | Total Loss 170.255066
Iter 0360 | Total Loss 194.867508
Iter 0400 | Total Loss 192.151321
Iter 0440 | Total Loss 127.135208
Iter 0480 | Total Loss 158.305435
Iter 0520 | Total Loss 163.815262
Iter 0560 | Total Loss 182.046692
Iter 0600 | Total Loss 149.934372
Iter 0640 | Total Loss 138.667480
Iter 0680 | Total Loss 163.018036
Iter 0720 | Total Loss 166.010239
Iter 0760 | Total Loss 145.167007
Iter 0800 | Total Loss 156.264816
Iter 0840 | Total Loss 135.183289
Iter 0880 | Total Loss 161.194397
Iter 0920 | Total Loss 146.021072
Iter 0960 | Total Loss 139.163086
Iter 1000 | Total Loss 148.551804
Iter 1040 | Total Loss 154.886108
Iter 1080 | Total Loss 132.968002
Iter 1120 | Total Loss 144.409668
Iter 1160 | Total Loss 139.284531
Iter 1200 | Total Loss 150.026840
Iter 1240 | Total Loss 146.075363
Iter 1280 | Total Loss 125.513603
Iter 1320 | Total Loss 137.519089
Iter 1360 | Total Loss 149.738434
Iter 1400 | Total Loss 137.834839
Iter 1440 | Total Loss 152.506470
Iter 1480 | Total Loss 123.332451
Iter 1520 | Total Loss 138.109024
Iter 1560 | Total Loss 145.355103
Iter 1600 | Total Loss 97.856812
Iter 1640 | Total Loss 119.804848
Iter 1680 | Total Loss 133.800323
Iter 1720 | Total Loss 145.817062
Iter 1760 | Total Loss 150.733139
Iter 1800 | Total Loss 156.724167
Iter 1840 | Total Loss 137.943771
Iter 1880 | Total Loss 126.764320
Iter 1920 | Total Loss 138.148788
Iter 1960 | Total Loss 108.557854
Iter 2000 | Total Loss 150.564880
Iter 2040 | Total Loss 136.428299
Iter 2080 | Total Loss 132.654327
Iter 2120 | Total Loss 142.614487
Iter 2160 | Total Loss 130.687729
Iter 2200 | Total Loss 133.619125
Iter 2240 | Total Loss 139.387115
Iter 2280 | Total Loss 148.458740
Iter 2320 | Total Loss 133.585907
Iter 2360 | Total Loss 133.370850
Iter 2400 | Total Loss 142.354584
Iter 2440 | Total Loss 127.999649
Iter 2480 | Total Loss 141.634705
Iter 2520 | Total Loss 144.931198
Iter 2560 | Total Loss 139.555054
Iter 2600 | Total Loss 123.077599
Iter 2640 | Total Loss 128.280029
Iter 2680 | Total Loss 141.418930
Iter 2720 | Total Loss 150.436920
Iter 2760 | Total Loss 147.514069
Iter 2800 | Total Loss 133.290848
Iter 2840 | Total Loss 148.362335
Iter 2880 | Total Loss 132.159225
Iter 2920 | Total Loss 141.831604
Iter 2960 | Total Loss 143.861633
Iter 3000 | Total Loss 128.657501
Using device: cuda
GPU Name: NVIDIA GeForce RTX 3070 Ti Laptop GPU
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
