
Iter 0040 | Total Loss 228.344986
Iter 0080 | Total Loss 186.096420
Iter 0120 | Total Loss 227.310455
Iter 0160 | Total Loss 122.497757
Iter 0200 | Total Loss 187.435074
Iter 0240 | Total Loss 377.695312
Iter 0280 | Total Loss 302.194214
Iter 0320 | Total Loss 435.354828
Iter 0360 | Total Loss 689.332031
Iter 0400 | Total Loss 617.595276
Iter 0440 | Total Loss 168.575073
Iter 0480 | Total Loss 187.445404
Iter 0520 | Total Loss 198.514496
Iter 0560 | Total Loss 197.379929
Iter 0600 | Total Loss 213.723206
Iter 0640 | Total Loss 138.207489
Iter 0680 | Total Loss 203.518463
Iter 0720 | Total Loss 186.887634
Iter 0760 | Total Loss 179.886047
Iter 0800 | Total Loss 151.097870
Iter 0840 | Total Loss 164.311859
Iter 0880 | Total Loss 167.162506
Iter 0920 | Total Loss 161.605988
Iter 0960 | Total Loss 188.223389
Iter 1000 | Total Loss 122.442619
Iter 1040 | Total Loss 159.663071
Iter 1080 | Total Loss 197.930771
Iter 1120 | Total Loss 113.292496
Iter 1160 | Total Loss 129.492706
Iter 1200 | Total Loss 186.441101
Iter 1240 | Total Loss 91.195290
Iter 1280 | Total Loss 132.488037
Iter 1320 | Total Loss 119.670998
Iter 1360 | Total Loss 148.008270
Iter 1400 | Total Loss 168.866425
Iter 1440 | Total Loss 271.553131
Iter 1480 | Total Loss 122.624680
Iter 1520 | Total Loss 169.650299
Iter 1560 | Total Loss 144.093735
Iter 1600 | Total Loss 185.648758
Iter 1640 | Total Loss 91.909615
Iter 1680 | Total Loss 1703649955276870647808.000000
Iter 1720 | Total Loss 106.343071
Iter 1760 | Total Loss 125.235168
Iter 1800 | Total Loss 127.742523
Iter 1840 | Total Loss 138566322257657856.000000
Iter 1880 | Total Loss 150.748901
Iter 1920 | Total Loss 147.979492
Iter 1960 | Total Loss 129.765671
Iter 2000 | Total Loss 193.419571
Iter 2040 | Total Loss 161.731140
Iter 2080 | Total Loss 151.492859
Iter 2120 | Total Loss 148.674103
Iter 2160 | Total Loss 165.527054
Iter 2200 | Total Loss 7630727794753798144.000000
Iter 2240 | Total Loss 1791370729619456.000000
Iter 2280 | Total Loss 151.919205
Iter 2320 | Total Loss 156.063934
Iter 2360 | Total Loss 180.427231
Iter 2400 | Total Loss 151.154984
Iter 2440 | Total Loss 146.688141
Iter 2480 | Total Loss 149.475281
Iter 2520 | Total Loss 175.515045
Iter 2560 | Total Loss 133.843155
Iter 2600 | Total Loss 174.999039
Iter 2640 | Total Loss 1062537848891474182144.000000
Iter 2680 | Total Loss 143.658600
Iter 2720 | Total Loss 5104.146484
Iter 2760 | Total Loss 17195048672165888.000000
Iter 2800 | Total Loss 169.950195
Iter 2840 | Total Loss 54199079765213850221714056675328.000000
Iter 2880 | Total Loss 146.840515
Iter 2920 | Total Loss 137.367355
Iter 2960 | Total Loss 6007178389570214083642244726784.000000
Iter 3000 | Total Loss 126.792488
d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
  warnings.warn("t is not on the same device as y0. Coercing to y0.device.")
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
Using device: cuda
GPU Name: NVIDIA GeForce RTX 3070 Ti Laptop GPU
