
Iter 0040 | Total Loss 83.725937
Iter 0080 | Total Loss 112.213936
Iter 0120 | Total Loss 159.307037
Iter 0160 | Total Loss 151.102600
Iter 0200 | Total Loss 153.875183
Iter 0240 | Total Loss 139.462799
Iter 0280 | Total Loss 172.058838
Iter 0320 | Total Loss 165.155090
Iter 0360 | Total Loss 127.371529
Iter 0400 | Total Loss 123.583168
Iter 0440 | Total Loss 120.255608
Iter 0480 | Total Loss 126.684814
Iter 0520 | Total Loss 105.162697
Iter 0560 | Total Loss 144.226624
Iter 0600 | Total Loss 105.208382
Iter 0640 | Total Loss 117.448799
Iter 0680 | Total Loss 164.006287
Iter 0720 | Total Loss 120.502342
Iter 0760 | Total Loss 153.566483
Iter 0800 | Total Loss 137.030411
Iter 0840 | Total Loss 134.276733
Iter 0880 | Total Loss 107.088898
Iter 0920 | Total Loss 107.735916
Iter 0960 | Total Loss 118.977226
Iter 1000 | Total Loss 107.617752
Iter 1040 | Total Loss 139.273560
Iter 1080 | Total Loss 95.213219
Iter 1120 | Total Loss 103.398842
Iter 1160 | Total Loss 102.369217
Iter 1200 | Total Loss 105.562622
Iter 1240 | Total Loss 93.990326
Iter 1280 | Total Loss 125.260857
Iter 1320 | Total Loss 103.801903
Iter 1360 | Total Loss 124.043373
Iter 1400 | Total Loss 136.536713
Iter 1440 | Total Loss 108.277336
Iter 1480 | Total Loss 140.026138
Iter 1520 | Total Loss 116.922791
Iter 1560 | Total Loss 113.696281
Iter 1600 | Total Loss 118.461334
Iter 1640 | Total Loss 98.381790
Iter 1680 | Total Loss 106.346405
Iter 1720 | Total Loss 129.049789
Iter 1760 | Total Loss 92.191032
Iter 1800 | Total Loss 98.656021
Iter 1840 | Total Loss 93.304657
Iter 1880 | Total Loss 111.616951
Iter 1920 | Total Loss 98.345779
Iter 1960 | Total Loss 92.544243
Iter 2000 | Total Loss 97.607979
Iter 2040 | Total Loss 89.854080
Iter 2080 | Total Loss 117.869461
Iter 2120 | Total Loss 122.998146
Iter 2160 | Total Loss 96.221436
Iter 2200 | Total Loss 80.692345
Iter 2240 | Total Loss 79.866783
Iter 2280 | Total Loss 135.984283
Iter 2320 | Total Loss 123.469772
Iter 2360 | Total Loss 121.834465
Iter 2400 | Total Loss 109.900398
Iter 2440 | Total Loss 87.003006
Iter 2480 | Total Loss 105.527977
Iter 2520 | Total Loss 74.916306
Iter 2560 | Total Loss 121.506615
Iter 2600 | Total Loss 101.870728
Iter 2640 | Total Loss 93.862823
Iter 2680 | Total Loss 98.048126
Iter 2720 | Total Loss 123.976730
Iter 2760 | Total Loss 76.205482
Iter 2800 | Total Loss 117.530014
Iter 2840 | Total Loss 98.807190
Iter 2880 | Total Loss 97.863853
Iter 2920 | Total Loss 66.966393
Iter 2960 | Total Loss 108.851501
