C:\Users\jagpr\AppData\Local\Temp\ipykernel_9316\2966616582.py:6: UserWarning: Using a target size (torch.Size([50, 50, 1, 3])) that is different to the input size (torch.Size([10, 50, 1, 3])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  loss = F.mse_loss(pred_y, batch_y)
Iter 0040 | Total Loss 160.126770
Iter 0080 | Total Loss 84.524345
Iter 0120 | Total Loss 386.240845
Iter 0160 | Total Loss 100.024498
Iter 0200 | Total Loss 83.613365
Iter 0240 | Total Loss 132.688919
Iter 0280 | Total Loss 148.281601
Iter 0320 | Total Loss 112.887367
Iter 0360 | Total Loss 124.414810
Iter 0400 | Total Loss 143.170349
Iter 0440 | Total Loss 168.417984
Iter 0480 | Total Loss 108.137856
Iter 0520 | Total Loss 126.697884
Iter 0560 | Total Loss 127.483742
Iter 0600 | Total Loss 109.774170
Iter 0640 | Total Loss 107.352219
Iter 0680 | Total Loss 143.034302
Iter 0720 | Total Loss 115.954491
Iter 0760 | Total Loss 103.882668
Iter 0800 | Total Loss 73.159821
Iter 0840 | Total Loss 148.099823
Iter 0880 | Total Loss 85.620712
Iter 0920 | Total Loss 159.926483
Iter 0960 | Total Loss 137.129837
Iter 1000 | Total Loss 142.754715
Iter 1040 | Total Loss 114.427811
Iter 1080 | Total Loss 131.507233
Iter 1120 | Total Loss 128.434952
Iter 1160 | Total Loss 142.397141
Iter 1200 | Total Loss 135.006912
Iter 1240 | Total Loss 101.274696
Iter 1280 | Total Loss 159.771393
Iter 1320 | Total Loss 100.918312
Iter 1360 | Total Loss 88.312706
Iter 1400 | Total Loss 90.503197
Iter 1440 | Total Loss 109.617561
Iter 1480 | Total Loss 100.939178
Iter 1520 | Total Loss 114.683502
Iter 1560 | Total Loss 106.554138
Iter 1600 | Total Loss 97.965836
Iter 1640 | Total Loss 116.245842
Iter 1680 | Total Loss 130.576294
Iter 1720 | Total Loss 104.774582
Iter 1760 | Total Loss 84.311813
Iter 1800 | Total Loss 107.691055
Iter 1840 | Total Loss 125.651520
Iter 1880 | Total Loss 90.919075
Iter 1920 | Total Loss 108.958908
Iter 1960 | Total Loss 101.188934
Iter 2000 | Total Loss 88.993752
Iter 2040 | Total Loss 109.866417
Iter 2080 | Total Loss 115.106232
Iter 2120 | Total Loss 125.475594
Iter 2160 | Total Loss 106.727417
Iter 2200 | Total Loss 97.451622
Iter 2240 | Total Loss 87.429092
Iter 2280 | Total Loss 122.186813
Iter 2320 | Total Loss 115.606239
Iter 2360 | Total Loss 95.662125
Iter 2400 | Total Loss 91.076843
Iter 2440 | Total Loss 113.876816
Iter 2480 | Total Loss 113.412926
Iter 2520 | Total Loss 93.396545
Iter 2560 | Total Loss 117.709770
Iter 2600 | Total Loss 108.399872
Iter 2640 | Total Loss 120.349274
Iter 2680 | Total Loss 79.114998
Iter 2720 | Total Loss 100.906456
Iter 2760 | Total Loss 127.186806
Iter 2800 | Total Loss 117.537971
Iter 2840 | Total Loss 101.960205
Iter 2880 | Total Loss 93.657768
Iter 2920 | Total Loss 87.957375
Iter 2960 | Total Loss 94.281044
