
Iter 0040 | Total Loss 149.461227
Iter 0080 | Total Loss 87.192009
Iter 0120 | Total Loss 136.699951
Iter 0160 | Total Loss 130.150803
Iter 0200 | Total Loss 115.261169
Iter 0240 | Total Loss 141.339355
Iter 0280 | Total Loss 112.348007
Iter 0320 | Total Loss 158.241058
Iter 0360 | Total Loss 144.668793
Iter 0400 | Total Loss 145.850662
Iter 0440 | Total Loss 122.525642
Iter 0480 | Total Loss 137.505173
Iter 0520 | Total Loss 102.115601
Iter 0560 | Total Loss 145.780975
Iter 0600 | Total Loss 108.988457
Iter 0640 | Total Loss 86.218689
Iter 0680 | Total Loss 97.422356
Iter 0720 | Total Loss 146.607162
Iter 0760 | Total Loss 91.263145
Iter 0800 | Total Loss 111.356644
Iter 0840 | Total Loss 58.937885
Iter 0880 | Total Loss 106.975822
Iter 0920 | Total Loss 99.127434
Iter 0960 | Total Loss 108.637238
Iter 1000 | Total Loss 80.396904
Iter 1040 | Total Loss 124.460434
Iter 1080 | Total Loss 97.970718
Iter 1120 | Total Loss 119.729752
Iter 1160 | Total Loss 103.656441
Iter 1200 | Total Loss 109.038658
Iter 1240 | Total Loss 72.847572
Iter 1280 | Total Loss 128.260727
Iter 1320 | Total Loss 126.880081
Iter 1360 | Total Loss 99.725815
Iter 1400 | Total Loss 98.870361
Iter 1440 | Total Loss 72.728981
Iter 1480 | Total Loss 81.864975
Iter 1520 | Total Loss 124.220863
Iter 1560 | Total Loss 148.942764
Iter 1600 | Total Loss 113.652542
Iter 1640 | Total Loss 104.667572
Iter 1680 | Total Loss 107.605789
Iter 1720 | Total Loss 107.043938
Iter 1760 | Total Loss 79.485596
Iter 1800 | Total Loss 93.066895
Iter 1840 | Total Loss 99.479706
Iter 1880 | Total Loss 96.044373
Iter 1920 | Total Loss 98.034790
Iter 1960 | Total Loss 116.176941
Iter 2000 | Total Loss 118.094414
Iter 2040 | Total Loss 90.486458
Iter 2080 | Total Loss 94.806976
Iter 2120 | Total Loss 91.872803
Iter 2160 | Total Loss 88.360519
Iter 2200 | Total Loss 99.505737
Iter 2240 | Total Loss 104.308189
Iter 2280 | Total Loss 111.744774
Iter 2320 | Total Loss 104.252708
Iter 2360 | Total Loss 107.951294
Iter 2400 | Total Loss 99.067856
Iter 2440 | Total Loss 110.293449
Iter 2480 | Total Loss 85.828545
Iter 2520 | Total Loss 107.800667
Iter 2560 | Total Loss 83.393059
Iter 2600 | Total Loss 104.800392
Iter 2640 | Total Loss 85.084351
Iter 2680 | Total Loss 129.294159
Iter 2720 | Total Loss 104.141647
Iter 2760 | Total Loss 110.207893
Iter 2800 | Total Loss 106.985771
Iter 2840 | Total Loss 114.739769
Iter 2880 | Total Loss 106.292648
Iter 2920 | Total Loss 96.570076
Iter 2960 | Total Loss 120.417145
Iter 3000 | Total Loss 102.242149
Iter 0150 | Total Loss 88.993050
Iter 0300 | Total Loss 112.037354
Iter 0450 | Total Loss 108.526352
Iter 0600 | Total Loss 148.780838
Iter 0750 | Total Loss 106.917435
Iter 0900 | Total Loss 123.685295
Iter 1050 | Total Loss 172.361435
Iter 1200 | Total Loss 125.331230
Iter 1350 | Total Loss 141.242569
Iter 1500 | Total Loss 185.038834
Iter 1650 | Total Loss 157.378891
Iter 1800 | Total Loss 141.622559
Iter 1950 | Total Loss 137.785736
Iter 2100 | Total Loss 132.464264
Iter 2250 | Total Loss 141.450378
Iter 2400 | Total Loss 101.358208
Iter 2550 | Total Loss 170.920441
Iter 2700 | Total Loss 158.190826
Iter 2850 | Total Loss 140.401581
Iter 3000 | Total Loss 148.959183
Iter 0040 | Total Loss 13577.544922
Iter 0080 | Total Loss 402.800201
Iter 0120 | Total Loss 52.922802
Iter 0160 | Total Loss 74.757530
Iter 0200 | Total Loss 81.835014
Iter 0240 | Total Loss 84.680939
Iter 0280 | Total Loss 11.694394
Iter 0320 | Total Loss 39.632442
Iter 0360 | Total Loss 28.670113
Iter 0400 | Total Loss 51.249889
Iter 0440 | Total Loss 11.849278
Iter 0480 | Total Loss 76.226326
Iter 0520 | Total Loss 51.413624
Iter 0560 | Total Loss 58.243065
Iter 0600 | Total Loss 28.310366
Iter 0640 | Total Loss 55.720131
Iter 0680 | Total Loss 30.389475
Iter 0720 | Total Loss 66.758537
Iter 0760 | Total Loss 76.977173
Iter 0800 | Total Loss 61.210114
Iter 0840 | Total Loss 12.173974
Iter 0880 | Total Loss 25.083649
Iter 0920 | Total Loss 26.013453
Iter 0960 | Total Loss 12.011969
Iter 1000 | Total Loss 79.777702
Iter 0040 | Total Loss 294.233582
Iter 0080 | Total Loss 294.233582
Iter 0120 | Total Loss 294.233582
Iter 0160 | Total Loss 294.233582
Iter 0200 | Total Loss 294.233582
Iter 0240 | Total Loss 294.233582
Iter 0280 | Total Loss 294.233582
Iter 0320 | Total Loss 294.233582
Iter 0360 | Total Loss 294.233582
Iter 0400 | Total Loss 294.233582
Iter 0440 | Total Loss 294.233582
Iter 0480 | Total Loss 294.233582
Iter 0520 | Total Loss 294.233582
Iter 0560 | Total Loss 294.233582
