
Iter 0040 | Total Loss 119.093887
Iter 0080 | Total Loss 97.487206
Iter 0120 | Total Loss 105.268135
Iter 0160 | Total Loss 91.265518
Iter 0200 | Total Loss 122.571655
Iter 0240 | Total Loss 125.118622
Iter 0280 | Total Loss 111.045753
Iter 0320 | Total Loss 147.785919
Iter 0360 | Total Loss 145.863739
Iter 0400 | Total Loss 137.416336
Iter 0440 | Total Loss 140.588333
Iter 0480 | Total Loss 119.948166
Iter 0520 | Total Loss 135.078705
Iter 0560 | Total Loss 159.868423
Iter 0600 | Total Loss 119.738708
Iter 0640 | Total Loss 135.429169
Iter 0680 | Total Loss 144.384201
Iter 0720 | Total Loss 129.435318
Iter 0760 | Total Loss 98.608116
Iter 0800 | Total Loss 130.989288
Iter 0840 | Total Loss 132.906784
Iter 0880 | Total Loss 134.004517
Iter 0920 | Total Loss 106.811981
Iter 0960 | Total Loss 99.298477
Iter 1000 | Total Loss 99.157417
Iter 1040 | Total Loss 93.462997
Iter 1080 | Total Loss 145.392975
Iter 1120 | Total Loss 70.411446
Iter 1160 | Total Loss 109.503540
Iter 1200 | Total Loss 111.183876
Iter 1240 | Total Loss 126.357780
Iter 1280 | Total Loss 107.626236
Iter 1320 | Total Loss 74.438072
Iter 1360 | Total Loss 88.132019
Iter 1400 | Total Loss 113.831917
Iter 1440 | Total Loss 67.512596
Iter 1480 | Total Loss 107.551247
Iter 1520 | Total Loss 112.204285
Iter 1560 | Total Loss 107.349533
Iter 1600 | Total Loss 110.422249
Iter 1640 | Total Loss 103.240044
Iter 1680 | Total Loss 105.538597
Iter 1720 | Total Loss 115.700104
Iter 1760 | Total Loss 138.826996
Iter 1800 | Total Loss 82.183815
Iter 1840 | Total Loss 60.935413
Iter 1880 | Total Loss 95.420013
Iter 1920 | Total Loss 96.424988
Iter 1960 | Total Loss 106.942268
Iter 2000 | Total Loss 118.639435
Iter 2040 | Total Loss 79.876610
Iter 2080 | Total Loss 86.994102
Iter 2120 | Total Loss 79.615723
Iter 2160 | Total Loss 56.274563
Iter 2200 | Total Loss 121.830917
Iter 2240 | Total Loss 62.513710
Iter 2280 | Total Loss 83.111229
Iter 2320 | Total Loss 124.329544
Iter 2360 | Total Loss 116.394569
Iter 2400 | Total Loss 64.048935
Iter 2440 | Total Loss 108.729164
Iter 2480 | Total Loss 99.862312
Iter 2520 | Total Loss 91.220184
Iter 2560 | Total Loss 99.212845
Iter 2600 | Total Loss 94.371582
Iter 2640 | Total Loss 68.988716
