C:\Users\jagpr\AppData\Local\Temp\ipykernel_25916\1538753556.py:17: UserWarning: No data for colormapping provided via 'c'. Parameters 'cmap' will be ignored
  ax.scatter(z[:,0], z[:,1], z[:,2], marker='.', color='k',cmap='viridis', alpha=0.5, linewidths=0, s=45)
C:\Users\jagpr\AppData\Local\Temp\ipykernel_25916\2299652412.py:18: UserWarning: No data for colormapping provided via 'c'. Parameters 'cmap' will be ignored
  ax.scatter(z[:,0], z[:,1], z[:,2], marker='.', c=c,cmap='viridis', alpha=0.5, linewidths=0, s=45)
C:\Users\jagpr\AppData\Local\Temp\ipykernel_25916\3849997667.py:19: UserWarning: No data for colormapping provided via 'c'. Parameters 'cmap' will be ignored
  sc = ax.scatter(z[:,0], z[:,1], z[:,2], c=c, cmap='viridis', label='Lorenz attractor', s=1)
Iter 0040 | Total Loss 619.273315
Iter 0080 | Total Loss 131.441650
Iter 0120 | Total Loss 131.938034
Iter 0160 | Total Loss 102.354790
Iter 0200 | Total Loss 84.410759
Iter 0240 | Total Loss 120.647545
Iter 0040 | Total Loss 137.646118
Iter 0040 | Total Loss 156.640396
Iter 0080 | Total Loss 162.395111
Iter 0120 | Total Loss 131.232559
Iter 0160 | Total Loss 116.083138
Iter 0200 | Total Loss 112.886093
Iter 0240 | Total Loss 118.362617
Iter 0280 | Total Loss 136.054840
Iter 0320 | Total Loss 113.440002
Iter 0360 | Total Loss 122.567772
Iter 0400 | Total Loss 130.210861
Iter 0440 | Total Loss 121.312836
Iter 0480 | Total Loss 129.248016
Iter 0520 | Total Loss 162.692368
Iter 0560 | Total Loss 143.040939
Iter 0040 | Total Loss 139.774048
Iter 0080 | Total Loss 107.929298
Iter 0120 | Total Loss 142.790756
Iter 0160 | Total Loss 105.929253
Iter 0200 | Total Loss 93.515289
Iter 0240 | Total Loss 125.166351
Iter 0280 | Total Loss 131.243973
Iter 0320 | Total Loss 134.506516
Iter 0360 | Total Loss 144.007950
Iter 0400 | Total Loss 134.726837
Iter 0440 | Total Loss 112.642868
Iter 0480 | Total Loss 124.954826
Iter 0520 | Total Loss 148.695953
Iter 0560 | Total Loss 150.384277
Iter 0600 | Total Loss 98.517303
Iter 0640 | Total Loss 101.169044
Iter 0680 | Total Loss 95.987534
Iter 0720 | Total Loss 94.295944
Iter 0760 | Total Loss 122.612747
Iter 0800 | Total Loss 113.400833
Iter 0840 | Total Loss 127.060387
Iter 0880 | Total Loss 119.565712
Iter 0920 | Total Loss 118.627945
Iter 0960 | Total Loss 122.114632
Iter 1000 | Total Loss 101.235794
Iter 1040 | Total Loss 82.552872
Iter 1080 | Total Loss 125.757675
Iter 1120 | Total Loss 118.841194
Iter 1160 | Total Loss 124.559074
Iter 1200 | Total Loss 99.459824
Iter 1240 | Total Loss 127.852219
Iter 1280 | Total Loss 140.509415
Iter 1320 | Total Loss 87.312180
Iter 1360 | Total Loss 132.331421
Iter 1400 | Total Loss 113.119270
Iter 1440 | Total Loss 86.458961
Iter 1480 | Total Loss 76.660446
Iter 1520 | Total Loss 117.694115
Iter 1560 | Total Loss 136.512756
Iter 1600 | Total Loss 125.723595
Iter 1640 | Total Loss 113.140106
Iter 1680 | Total Loss 132.790756
Iter 1720 | Total Loss 125.249741
Iter 1760 | Total Loss 122.368980
Iter 1800 | Total Loss 79.750572
Iter 1840 | Total Loss 95.167061
Iter 1880 | Total Loss 116.512451
Iter 1920 | Total Loss 127.202660
Iter 1960 | Total Loss 113.611801
Iter 2000 | Total Loss 129.445038
Iter 2040 | Total Loss 113.592529
Iter 2080 | Total Loss 148.853653
Iter 2120 | Total Loss 125.783875
Iter 2160 | Total Loss 93.982689
Iter 2200 | Total Loss 127.246269
Iter 2240 | Total Loss 75.896355
Iter 2280 | Total Loss 110.327354
Iter 2320 | Total Loss 141.791412
Iter 2360 | Total Loss 76.138306
Iter 2400 | Total Loss 118.016251
Iter 2440 | Total Loss 131.328644
Iter 2480 | Total Loss 114.122978
Iter 2520 | Total Loss 93.969231
Iter 2560 | Total Loss 156.462601
Iter 2600 | Total Loss 147.598923
Iter 2640 | Total Loss 123.347122
Iter 2680 | Total Loss 125.787384
Iter 2720 | Total Loss 147.507523
Iter 2760 | Total Loss 75.963753
Iter 2800 | Total Loss 83.518555
Iter 2840 | Total Loss 122.915352
Iter 2880 | Total Loss 113.511497
Iter 2920 | Total Loss 133.508942
Iter 2960 | Total Loss 111.641853
Iter 3000 | Total Loss 76.340607
C:\Users\jagpr\AppData\Local\Temp\ipykernel_25916\3934009875.py:15: UserWarning: Using a target size (torch.Size([45000, 3])) that is different to the input size (torch.Size([1000, 3])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  loss = F.mse_loss(pred_y, train_data)
Iter 0040 | Total Loss 211.300888
Iter 0080 | Total Loss 109.671158
Iter 0120 | Total Loss 93.497116
Iter 0160 | Total Loss 131.304184
Iter 0200 | Total Loss 121.608994
Iter 0240 | Total Loss 138.032608
Iter 0280 | Total Loss 128.308029
Iter 0320 | Total Loss 137.370300
Iter 0360 | Total Loss 160.565201
Iter 0400 | Total Loss 150.244186
Iter 0440 | Total Loss 147.668427
Iter 0480 | Total Loss 149.531799
Iter 0520 | Total Loss 148.016617
Iter 0560 | Total Loss 145.949295
Iter 0600 | Total Loss 147.292984
Iter 0640 | Total Loss 145.099915
Iter 0680 | Total Loss 152.418869
Iter 0720 | Total Loss 152.837112
