d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
  warnings.warn("t is not on the same device as y0. Coercing to y0.device.")
Iter 0000 | Total Loss inf
Iter 0040 | Total Loss 260.351959
Iter 0080 | Total Loss 266.645691
Iter 0120 | Total Loss 258.515747
Iter 0160 | Total Loss 269.070160
Iter 0200 | Total Loss 261.300201
Iter 0240 | Total Loss 264.819031
Iter 0280 | Total Loss 255.583359
Iter 0320 | Total Loss 257.843048
Iter 0360 | Total Loss 260.233429
Iter 0400 | Total Loss 257.540924
Iter 0440 | Total Loss 256.392151
Iter 0480 | Total Loss 259.341278
Iter 0520 | Total Loss 261.072479
Iter 0560 | Total Loss 254.579041
Iter 0600 | Total Loss 252.300583
Iter 0640 | Total Loss 258.975952
Iter 0680 | Total Loss 256.510712
Iter 0720 | Total Loss 256.456116
Iter 0760 | Total Loss 262.365479
Iter 0800 | Total Loss 257.543121
Iter 0840 | Total Loss 259.229828
Iter 0880 | Total Loss 258.287659
Iter 0920 | Total Loss 255.796112
Iter 0960 | Total Loss 261.289154
Iter 1000 | Total Loss 259.346130
Iter 1040 | Total Loss 257.817078
Iter 1080 | Total Loss 261.466156
Iter 1120 | Total Loss 260.267303
Iter 1160 | Total Loss 260.274719
Iter 1200 | Total Loss 260.565826
Iter 1240 | Total Loss 260.017853
Iter 1280 | Total Loss 260.242249
Iter 1320 | Total Loss 262.419739
Iter 1360 | Total Loss 261.757385
Iter 1400 | Total Loss 261.103058
Iter 1440 | Total Loss 261.553375
Iter 1480 | Total Loss 259.589172
Iter 1520 | Total Loss 260.296814
Iter 1560 | Total Loss 259.223877
Iter 1600 | Total Loss 260.925964
Iter 1640 | Total Loss 261.908112
Iter 1680 | Total Loss 258.598450
Iter 1720 | Total Loss 260.970306
Iter 1760 | Total Loss 262.533691
Iter 1800 | Total Loss 259.672852
Iter 1840 | Total Loss 259.636536
Iter 1880 | Total Loss 263.722992
Iter 1920 | Total Loss 260.654907
Iter 1960 | Total Loss 262.153442
Iter 2000 | Total Loss 257.120636
Iter 2040 | Total Loss 256.845764
Iter 2080 | Total Loss 259.183228
